507	775
507	551
507	487
775	44
775	199
775	645
775	628
775	643
551	862
487	947
487	373
44	816
44	543
44	199
199	157
199	781
199	856
199	922
199	584
199	337
199	964
199	378
199	474
199	610
199	352
199	742
199	890
199	810
199	675
199	247
199	641
645	52
645	647
645	376
628	573
628	860
628	426
628	382
643	702
643	51
643	571
862	490
862	70
862	938
862	529
862	374
862	953
862	659
862	262
862	471
862	189
862	897
862	846
862	128
862	539
862	6
862	417
862	153
862	990
862	701
862	34
862	837
862	932
862	394
862	815
862	20
862	434
862	296
862	658
862	453
862	646
862	958
862	82
862	173
862	204
862	231
947	678
947	652
373	723
373	571
373	695
816	193
816	837
816	955
816	284
816	258
816	706
816	12
816	995
816	977
816	968
816	684
816	630
816	699
816	48
816	529
816	784
816	261
816	697
816	904
816	664
816	453
816	202
816	763
816	123
816	147
816	527
816	484
816	754
816	616
816	850
816	343
816	533
816	512
816	898
816	190
816	407
816	98
816	61
816	646
543	697
543	533
543	922
543	537
543	427
543	292
157	490
157	573
157	969
157	208
157	179
157	642
157	375
157	406
157	219
157	858
157	715
157	488
157	239
157	422
157	464
157	77
157	609
157	558
157	803
157	380
157	967
157	807
157	667
157	940
157	158
157	237
157	844
157	47
157	268
157	134
157	162
157	148
157	821
157	951
157	607
157	247
157	76
781	868
781	405
781	753
856	139
856	235
856	62
922	251
922	208
922	524
922	706
922	678
922	407
922	857
922	912
922	644
922	686
922	927
922	672
922	51
922	175
922	917
922	346
922	813
922	584
922	668
922	868
922	432
584	419
584	697
584	202
584	683
584	821
584	986
584	415
584	690
584	313
584	416
337	529
337	929
337	858
337	186
337	657
337	596
337	169
337	403
337	570
337	391
964	189
964	415
964	245
964	17
378	596
378	727
474	115
474	129
474	282
474	740
610	147
610	455
610	942
352	732
352	230
352	954
742	401
742	93
742	191
742	572
742	677
742	787
742	206
742	602
742	122
890	369
810	12
810	683
810	591
810	94
810	316
810	506
675	258
247	678
247	359
247	99
247	496
247	569
247	349
247	367
247	597
247	89
247	949
247	172
247	840
247	915
641	667
641	396
641	900
641	541
52	840
647	490
376	863
376	517
376	933
376	582
573	490
573	193
573	148
573	497
573	328
573	208
573	75
573	666
573	637
573	888
573	622
573	873
573	489
573	450
573	419
573	812
573	837
573	961
573	82
573	402
573	952
573	263
573	257
860	402
860	12
860	408
860	605
860	534
426	284
426	998
426	396
426	97
426	102
382	792
382	146
382	878
382	116
382	503
702	637
702	985
702	439
702	639
702	686
702	471
702	771
